*** CreateTypeLogger.CreateLog4Net: Clr(Runtime=Clr, InvocationCount=1, UnrollFactor=1) ***
* Raw *
WorkloadActual 15: 1 op, 280000 ns, 280.0000 us/op
WorkloadActual 16: 1 op, 174300 ns, 174.3000 us/op
WorkloadActual 17: 1 op, 351300 ns, 351.3000 us/op
WorkloadActual 18: 1 op, 287900 ns, 287.9000 us/op
WorkloadActual 19: 1 op, 399000 ns, 399.0000 us/op
WorkloadActual 20: 1 op, 175800 ns, 175.8000 us/op
WorkloadActual 21: 1 op, 238600 ns, 238.6000 us/op
WorkloadActual 22: 1 op, 175300 ns, 175.3000 us/op
WorkloadActual 23: 1 op, 234900 ns, 234.9000 us/op
WorkloadActual 24: 1 op, 187300 ns, 187.3000 us/op
WorkloadActual 25: 1 op, 345900 ns, 345.9000 us/op
WorkloadActual 26: 1 op, 177700 ns, 177.7000 us/op
WorkloadActual 27: 1 op, 225300 ns, 225.3000 us/op
WorkloadActual 28: 1 op, 213500 ns, 213.5000 us/op
WorkloadActual 29: 1 op, 217600 ns, 217.6000 us/op
WorkloadActual 30: 1 op, 299500 ns, 299.5000 us/op
WorkloadActual 31: 1 op, 202500 ns, 202.5000 us/op
WorkloadActual 32: 1 op, 301400 ns, 301.4000 us/op
WorkloadActual 33: 1 op, 304700 ns, 304.7000 us/op
WorkloadActual 34: 1 op, 301700 ns, 301.7000 us/op
WorkloadActual 35: 1 op, 307300 ns, 307.3000 us/op
WorkloadActual 36: 1 op, 327900 ns, 327.9000 us/op
WorkloadActual 37: 1 op, 249100 ns, 249.1000 us/op
WorkloadActual 38: 1 op, 296300 ns, 296.3000 us/op
WorkloadActual 39: 1 op, 316200 ns, 316.2000 us/op
WorkloadActual 40: 1 op, 350400 ns, 350.4000 us/op
WorkloadActual 41: 1 op, 292300 ns, 292.3000 us/op
WorkloadActual 42: 1 op, 261600 ns, 261.6000 us/op
WorkloadActual 43: 1 op, 333600 ns, 333.6000 us/op
WorkloadActual 44: 1 op, 231400 ns, 231.4000 us/op
WorkloadActual 45: 1 op, 294100 ns, 294.1000 us/op
WorkloadActual 46: 1 op, 221400 ns, 221.4000 us/op
WorkloadActual 47: 1 op, 177900 ns, 177.9000 us/op
WorkloadActual 48: 1 op, 244600 ns, 244.6000 us/op
WorkloadActual 49: 1 op, 314600 ns, 314.6000 us/op
WorkloadActual 50: 1 op, 305200 ns, 305.2000 us/op
WorkloadActual 51: 1 op, 311600 ns, 311.6000 us/op
WorkloadActual 52: 1 op, 306200 ns, 306.2000 us/op
WorkloadActual 53: 1 op, 250200 ns, 250.2000 us/op
WorkloadActual 54: 1 op, 293000 ns, 293.0000 us/op
WorkloadActual 55: 1 op, 197000 ns, 197.0000 us/op
WorkloadActual 56: 1 op, 171000 ns, 171.0000 us/op
WorkloadActual 57: 1 op, 292100 ns, 292.1000 us/op
WorkloadActual 58: 1 op, 305900 ns, 305.9000 us/op
WorkloadActual 59: 1 op, 335000 ns, 335.0000 us/op
WorkloadActual 60: 1 op, 221100 ns, 221.1000 us/op
